Place,Location,Coordinate,Google Maps Rating,Google Reviews (Count),Description,Tourism/Visitor Fee (approx in USD)
Tirta Empul Temple,"Jl. Tirta, Manukaya, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80552","8Â° 24â€² 52.8â€³ S, 115Â° 18â€² 57.6â€³ E",4.6,16456,"Tirta Empul temple (Indonesian: Pura Tirta Empul) is a Hindu Balinese water temple located near the town of Tampaksiring, Bali, Indonesia. The temple compound consists of a petirtaan or bathing structure, famous for its holy spring water, where Balinese Hindus go to for ritual purification. The temple pond. has a spring which gives out fresh water regularly, which Balinese Hindus consider to be holy or amritha.[1] Tirta Empul means Holy Spring in Balinese.","Yes, visit to the Tirta Empul Temple are subject to an entrance fee of 50,000 IDR ($ 3.4 USD) per person for adult, and 25,000 IDR ($1.7 USD) per person for kid."
West Bali National Park,"Buleleng Regency, Bali, Indonesia",8Â°8â€²S 114Â°29â€²E,4.5,2912,"West Bali National Park (Indonesian: Taman Nasional Bali Barat) is a national park located in Buleleng Regency, Bali, Indonesia.","Yes, West Bali National Park Entrance Fee: Rp200. 000 - Rp300. 000 ($ 15 USD - 21 USD) Opening Hours: 08:00 - 18:00 Telp. Number: - Address: Desa Pemuteran , Pemuteran, Buleleng , Jembrana, Bali , Indonesia , 81155"
Garuda Wisnu Kencana Cultural Park,"Uluwatu St, Ungasan, South Kuta, Badung Regency, Bali 80364","8.8104Â° S, 115.1676Â° E",4.5,50703,"Garuda Wisnu Kencana Cultural Park (Indonesian: Taman Budaya Garuda Wisnu Kencana), or GWK, is a tourist destination and attraction located at Ungasan, Badung on the island of Bali, Indonesia, about 10â€“15 minutes drive from Ngurah Rai International Airport. It is devoted to the Hindu god Vishnu, and his mount, Garuda, the mythical bird who became his companion.","Yes, Garuda Wisnu Kencana Cultural Park Entrance Fee: Rp100.000 - Rp125.000 ($7 - 8.3 USD) Opening Hours: 08:00 - 22:00 WITA "
Bali Zoo,"Jl. Raya Singapadu, Singapadu, Kec. Sukawati, Kabupaten Gianyar, Bali 80582","8.5913Â° S, 115.2659Â° E",4.4,14401,"Large zoo featuring orangutans, elephants & African lions, plus interactive encounters & shows.","Yes, Starting From Rp 90.000 ($ 6 USD), Openin Hours: 09:00 - 17:00."
Bali Bird Park,"Jl. Serma Cok Ngurah Gambir Singapadu, Batubulan, Kec. Sukawati, Kabupaten Gianyar, Bali 80582",8Â°36â€²0â€³S 115Â°15â€²4â€³E,4.6,9847,"Animal park with exotic-bird shows, feedings & displays, plus reptiles, native plants & a cafe.","Yes, The basic Bali Bird Park ticket costs IDR 385.000 ($ 24.54 USD) per person for adults and IDR 192.500 ($12.27 USD) for children between 2 to 12 years old. Apart from this, the reptile park Bali entrance fee is IDR 100.000 ($ 6.37 USD) for adults and IDR 50.000 (INR 237) for children between 3 to 10 years old."
Tirta Gangga,"Jalan Raya Abang Desa Adat, Ababi, Kec. Abang, Kabupaten Karangasem, Bali 80852","8.4123Â° S, 115.5873Â° E",4.6,12992,"Elegant spiritual retreat & gardens surrounded by natural springs, with swimming & picnicking.","Yes, Tirtagangga palace entrance fee is Rp50.000 ($ 3.19 USD)  for international tourists. Visitors could swim in the spring water pool with an extra Rp20.000 ($ 1.27 USD)."
Tegenungan Waterfall,"Jl. Ir. Sutami, Kemenuh, Kec. Sukawati, Kabupaten Gianyar, Bali 80581","8.5754Â° S, 115.2888Â° E",4.3,23349,"Scenic waterfall in a lush jungle setting above a shallow bathing area, with cafes nearby.","Yes, visit to the Tegenungan Waterfall are subject to an entrance fee of 15,000 IDR ($ 0.96 USD) per person for adult and 10,000 IDR ($ 0.64 USD) per person for child. Tickets can be purchased at the ticket counter in the parking area in front of the waterfall entrance."
Bali Swing,"Jl. Dewi Saraswati No.7, Bongkasa Pertiwi, Kec. Abiansemal, Kabupaten Badung, Bali 80352","8Â°29'36.9""S 115Â°14'21.2""E",4.5,8311,"Adventure outfit offering a range of tours, rafting trips & rope swings with jungle views.","Yes, 10 USD to 45 USD"
Waterboom Bali,"Jl. Kartika Plaza, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361","8.7286Â° S, 115.1694Â° E",4.7,10650,"Lively water park with a rides for all ages, plus restaurants, a food court & a swim-up bar.","Yes, However, single days pass costs around IDR 355,000 ($ 22.63 USD) for children who are 2 to 11 years old, IDR 495,000 ($ 31.55 USD) for adults, and IDR 1,565,000 ($ 99.75 USD) for family (2 adults, 2 children). There is a two-day pass also for those who want to visit again."
Campuhan Ridge Walk,"Kelusa, Payangan, Jl. Raya Campuhan, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571","8.5036Â° S, 115.2547Â° E",4.4,9019,"Lush, scenic locale known for its mellow hiking trails & sweeping hilltop views.","Campuhan Ridge Walk is a free and easy nature trek, popular among regular visitors in the central highland town of Ubud. This trail presents a pristine outback to escape from the contemporary boutique, guesthouse and restaurant-lined Jalan Raya Ubud."
Bali Safari and Marine Park,"Jl. Prof. Dr. Ida Bagus Mantra No.km 19, Serongga, Kec. Gianyar, Kabupaten Gianyar, Bali 80551","8Â° 35' 27.024"" S, 115Â° 20' 31.344"" E",4.4,16042,"Family-friendly locale offering safaris for animal viewing, elephant rides & a water park.","Yes, the basic Bali Safari and Marine Park entry fee is IDR 720,000 ($ 45.89 USD) for adults and IDR 576,000 ($ 36.71 USD) for children. Apart from this, if one wants to take a pickup service, they have to pay an extra amount of IDR 450,000 ($ 28.68 USD) per car for both ways"
Bajra Sandhi Monument,"Jl. Raya Puputan No.142, Panjer, Denpasar Selatan, Kota Denpasar, Bali 80234","8.6717Â° S, 115.2339Â° E",4.6,12694,"Ornate, landmark monument to the Balinese people, with a grassy surrounding park.","Yes, visit to the Bajra Sandhi Monument are subject to an entrance IDR 30,000 for adult and IDR 15,000 for child ($0.96 - 1.91 USD)."
Sukawati Art Market,"Jalan Raya Sukawati, Sukawati, Kec. Sukawati, Kabupaten Gianyar, Bali 80582","8.5965Â° S, 115.2826Â° E",4.3,8248,"Colorful marketplace with merchants selling apparel, jewelry, locally made souvenirs & more.","Yes, depending on location and places visited."
Taman Ujung,"Ujung Water Palace, Tumbu, Kec. Karangasem, Kabupaten Karangasem, Bali 80811","8.4631Â° S, 115.6307Â° E",4.6,3984,"This scenic, former water palace built in 1909 features gardens, large pools & historical photos.","Yes, 50.000 - 75.000 IDR ($ 3.19 - 4.78 USD)"
Secret Garden Village,"Jl. Raya Denpasar Bedugul km. 36, Mekarsari, Baturiti, Mekarsari, Tabanan, Mekarsari, Kec. Baturiti, Kabupaten Tabanan, Bali 82191","8.3727Â° S, 115.1933Â° E",4.6,4432,"Beatiful Garden Located in Jalan Raya Denpasar, Bali.","Yes, starting from 45.000 ($ 2.87 USD)."
Penglipuran Village,"Jl. Penglipuran, Kubu, Kec. Bangli, Kabupaten Bangli, Bali 80611"," 8Â°25â€²19â€³S, 115Â°21â€²32â€³E",4.8,13207,Traditional Balinese village selling handicrafts & local produce & offering homestay accommodation.,"Yes, starting from 50.000 IDR ($ 3.48 USD)."
Banjar Hot Spring,"Jalan Banjar, Banjar, Kec. Banjar, Kabupaten Buleleng, Bali 81152","8.2105Â° S, 114.9671Â° E",4.3,2422,"Hot springs complex surrounded by tropical gardens offering pools & showers, plus an eatery & a spa.","Yes, starting from IDR 20.000 ($ 1.40 USD)."
Bali Pulina,"Jl. Raya Pujung Kaja, Sebatu, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561","8.4227Â° S, 115.2788Â° E",4.5,3960,"Sprawling venue with lush, tropical vegetation, coffee & tea tastings & a zipline through foliage.","Yes, starting from IDR 100.000 ($ 6.37 USD)."
Goa Lawah Temple,"CFX9+9GG, Jl. Raya Goa Lawah, Pesinggahan, Kec. Dawan, Kabupaten Klungkung, Bali 80761","8.5516Â° S, 115.4688Â° E",4.7,4479,"This small, 11th-century Balinese Hindu temple was constructed around a bat-filled cave.","Yes, starting from IDR 20.000 ($ 1.40 USD)."
Pantai Batu Bolong,"Jl. Pantai Batu Bolong, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali","8.6595Â° S, 115.1301Â° E",4.4,7248,This well-known sandy beach near shops & restaurants is popular with surfers & has board rentals,"Yes, parking fee is included ranging from 5000 IDR (car) and IDR 2000 (motorcycle), ($ 0.13 - 0.32 USD)."
